Season;Year;Month;value;Source;link
2020-2021;2021;Abril;75;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Mayo;;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Diciembre;12;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Enero;30;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Febrero;55;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Marzo;60;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Abril;50;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Mayo;;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Diciembre;0;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Enero;28;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Febrero;62;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Marzo;75;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Abril;38;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Mayo;5;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Diciembre;0;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Enero;15;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Febrero;50;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Marzo;50;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Abril;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Mayo;19;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2025;Diciembre;5;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2024-2025;2025;Enero;15;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2024-2025;2025;Febrero;40;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2024-2025;2025;Marzo;60;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2024-2025;2025;Abril;108;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2024-2025;2025;Mayo;30;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
